Workflow,Metric,ExperimentNr,Data,PredictionFor,Target, Estimator,MedianDeviation
EAGER-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Lotaru-G,0.21332925741192163
EAGER-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Lotaru-A,0.15471434773290116
EAGER-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,OnlineM,0.4751575581175251
EAGER-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,OnlineP,0.4751575581175251
EAGER-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Naive,0.7428501470495358
EAGER-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Lotaru-G,0.23688220342151073
EAGER-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Lotaru-A,0.11538773593131757
EAGER-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,OnlineM,0.44804074375156616
EAGER-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,OnlineP,0.44804074375156616
EAGER-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Naive,0.73855413373018
BACASS-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Lotaru-G,0.23047398920502982
BACASS-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Lotaru-A,0.18843749999999998
BACASS-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,OnlineM,0.2548337836247853
BACASS-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,OnlineP,0.2548337836247853
BACASS-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Naive,0.2997336709468561
BACASS-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Lotaru-G,0.32219260708366043
BACASS-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Lotaru-A,0.292727456419144
BACASS-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,OnlineM,0.45995976793656546
BACASS-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,OnlineP,0.45995976793656546
BACASS-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Naive,0.470961322074837
CHIPSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Lotaru-G,0.09674211425579565
CHIPSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Lotaru-A,0.17028942968475658
CHIPSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,OnlineM,0.4703317587479148
CHIPSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,OnlineP,0.4703317587479148
CHIPSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Naive,0.4086395825540258
CHIPSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Lotaru-G,0.07548105279676195
CHIPSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Lotaru-A,0.15284459802144387
CHIPSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,OnlineM,0.4686074407320807
CHIPSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,OnlineP,0.4686074407320807
CHIPSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Naive,0.4377371447156983
ATACSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Lotaru-G,0.12478619446131803
ATACSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Lotaru-A,0.23961230337066886
ATACSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,OnlineM,0.33154837543263754
ATACSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,OnlineP,0.33154837543263754
ATACSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Naive,0.5665780041893428
ATACSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Lotaru-G,0.20128781043586108
ATACSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Lotaru-A,0.21473840639561487
ATACSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,OnlineM,0.37962648650443487
ATACSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,OnlineP,0.37962648650443487
ATACSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Naive,0.5568539939120105
METHYLSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Lotaru-G,0.08262765832235457
METHYLSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Lotaru-A,0.27624929814710836
METHYLSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,OnlineM,0.2964824251834795
METHYLSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,OnlineP,0.29438061399949694
METHYLSEQ-0,Median Error,0,ALL_DATA,ASOK01,ASOK01,Naive,0.9906883363119001
METHYLSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Lotaru-G,0.17336681174098736
METHYLSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Lotaru-A,0.4080618442849255
METHYLSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,OnlineM,0.2998916357837587
METHYLSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,OnlineP,0.2998916357837587
METHYLSEQ-1,Median Error,1,ALL_DATA,ASOK01,ASOK01,Naive,0.20646619079097422
