Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
n2,EAGER-0,genotyping_hc,OnlineP,Realtime,1.9132169434E10,2196460.5673503466,3151150.0,0.3029654039476551
n2,EAGER-0,genotyping_hc,OnlineM,Realtime,8.330435694E9,1973261.215515382,2586578.0,0.23711513222667868
n2,EAGER-0,genotyping_hc,OnlineM,Realtime,2.5705994498E10,2437801.9059404572,4848044.0,0.49715763595783014
n2,EAGER-0,genotyping_hc,OnlineM,Realtime,1.9100037384E10,2195651.0756566552,3203084.0,0.31451967052482693
n2,EAGER-0,genotyping_hc,OnlineM,Realtime,1.907531498E10,2195660.095511496,3138085.0,0.30031847591397426
n2,EAGER-0,genotyping_hc,OnlineM,Realtime,1.4754556884E10,2152869.133282313,3657452.0,0.4113746036086562
n2,EAGER-0,genotyping_hc,OnlineM,Realtime,1.9132169434E10,2196460.5673503466,3151150.0,0.3029654039476551
n2,EAGER-0,genotyping_hc,Naive,Realtime,8.330435694E9,847252.0268981651,2586578.0,0.6724428851949699
n2,EAGER-0,genotyping_hc,Naive,Realtime,2.5705994498E10,1046710.1819790273,4848044.0,0.7840963939314438
n2,EAGER-0,genotyping_hc,Naive,Realtime,1.9100037384E10,942738.7563208995,3203084.0,0.7056777916779893
n2,EAGER-0,genotyping_hc,Naive,Realtime,1.907531498E10,942742.6291433297,3138085.0,0.6995802761418732
n2,EAGER-0,genotyping_hc,Naive,Realtime,1.4754556884E10,924369.6285509429,3657452.0,0.7472640437794008
n2,EAGER-0,genotyping_hc,Naive,Realtime,1.9132169434E10,943086.3248398794,3151150.0,0.7007167780524953
n2,EAGER-0,genotyping_hc,Lotaru-A,Realtime,8.330435694E9,2907703.71900746,2586578.0,0.12415079653791997
n2,EAGER-0,genotyping_hc,Lotaru-A,Realtime,2.5705994498E10,6956397.170769791,4848044.0,0.4348873836066238
n2,EAGER-0,genotyping_hc,Lotaru-A,Realtime,1.9100037384E10,4845937.3098440785,3203084.0,0.5128973545008743
n2,EAGER-0,genotyping_hc,Lotaru-A,Realtime,1.907531498E10,4846015.922176611,3138085.0,0.5442589739209137
n2,EAGER-0,genotyping_hc,Lotaru-A,Realtime,1.4754556884E10,4473072.298199611,3657452.0,0.22300232462370273
n2,EAGER-0,genotyping_hc,Lotaru-A,Realtime,1.9132169434E10,4852992.4156444045,3151150.0,0.5400702650284513
n2,EAGER-0,genotyping_hc,Perfect,Realtime,8.330435694E9,2586578.0,2586578.0,0.0
n2,EAGER-0,genotyping_hc,Perfect,Realtime,2.5705994498E10,4848044.0,4848044.0,0.0
n2,EAGER-0,genotyping_hc,Perfect,Realtime,1.9100037384E10,3203084.0,3203084.0,0.0
n2,EAGER-0,genotyping_hc,Perfect,Realtime,1.907531498E10,3138085.0,3138085.0,0.0
n2,EAGER-0,genotyping_hc,Perfect,Realtime,1.4754556884E10,3657452.0,3657452.0,0.0
n2,EAGER-0,genotyping_hc,Perfect,Realtime,1.9132169434E10,3151150.0,3151150.0,0.0
n2,EAGER-0,qualimap,Lotaru-G,Realtime,8.330435694E9,25316.27260743792,22970.0,0.10214508521714935
n2,EAGER-0,qualimap,Lotaru-G,Realtime,2.5705994498E10,51306.51906466205,46033.0,0.11455953478291762
n2,EAGER-0,qualimap,Lotaru-G,Realtime,1.4754556884E10,35365.02429840659,31979.0,0.10588274487653121
n2,EAGER-0,qualimap,Lotaru-G,Realtime,1.9132169434E10,37803.88947901231,34930.0,0.08227567933044112
n2,EAGER-0,qualimap,Lotaru-G,Realtime,1.9100037384E10,37758.59982180736,36069.0,0.04684354492243639
n2,EAGER-0,qualimap,Lotaru-G,Realtime,1.907531498E10,37759.104467052195,33649.0,0.12214640753223559
n2,EAGER-0,qualimap,OnlineP,Realtime,8.330435694E9,21259.324380349295,22970.0,0.0744743412995518
n2,EAGER-0,qualimap,OnlineP,Realtime,2.5705994498E10,26264.440725354678,46033.0,0.4294432097548568
n2,EAGER-0,qualimap,OnlineP,Realtime,1.4754556884E10,23194.479994134308,31979.0,0.27469651977440485
n2,EAGER-0,qualimap,OnlineP,Realtime,1.9132169434E10,23664.148644595247,34930.0,0.3225265203379546
n2,EAGER-0,qualimap,OnlineP,Realtime,1.9100037384E10,23655.426911083523,36069.0,0.34416183118235816
n2,EAGER-0,qualimap,OnlineP,Realtime,1.907531498E10,23655.524094008128,33649.0,0.29699176516365633
n2,EAGER-0,qualimap,OnlineM,Realtime,8.330435694E9,21259.324380349295,22970.0,0.0744743412995518
n2,EAGER-0,qualimap,OnlineM,Realtime,2.5705994498E10,26264.440725354678,46033.0,0.4294432097548568
n2,EAGER-0,qualimap,OnlineM,Realtime,1.4754556884E10,23194.479994134308,31979.0,0.27469651977440485
n2,EAGER-0,qualimap,OnlineM,Realtime,1.9132169434E10,23664.148644595247,34930.0,0.3225265203379546
n2,EAGER-0,qualimap,OnlineM,Realtime,1.9100037384E10,23655.426911083523,36069.0,0.34416183118235816
n2,EAGER-0,qualimap,OnlineM,Realtime,1.907531498E10,23655.524094008128,33649.0,0.29699176516365633
n2,EAGER-0,qualimap,Naive,Realtime,8.330435694E9,14644.67931504697,22970.0,0.3624432165848076
n2,EAGER-0,qualimap,Naive,Realtime,2.5705994498E10,18092.499316084064,46033.0,0.6069667561079212
n2,EAGER-0,qualimap,Naive,Realtime,1.4754556884E10,15977.72889280259,31979.0,0.5003680886581009
n2,EAGER-0,qualimap,Naive,Realtime,1.9132169434E10,16301.264422308366,34930.0,0.5333162203747963
n2,EAGER-0,qualimap,Naive,Realtime,1.9100037384E10,16295.256376706098,36069.0,0.5482199013916077
n2,EAGER-0,qualimap,Naive,Realtime,1.907531498E10,16295.323322049248,33649.0,0.5157263715994755
n2,EAGER-0,qualimap,Lotaru-A,Realtime,8.330435694E9,22704.137167186578,22970.0,0.011574350579600429
n2,EAGER-0,qualimap,Lotaru-A,Realtime,2.5705994498E10,46012.70749757693,46033.0,4.4082511292055067E-4
n2,EAGER-0,qualimap,Lotaru-A,Realtime,1.4754556884E10,31716.057693106373,31979.0,0.008222343003021566
n2,EAGER-0,qualimap,Lotaru-A,Realtime,1.9132169434E10,33903.28053002902,34930.0,0.029393629257686224
n2,EAGER-0,qualimap,Lotaru-A,Realtime,1.9100037384E10,33862.66386400632,36069.0,0.061169872632833806
n2,EAGER-0,qualimap,Lotaru-A,Realtime,1.907531498E10,33863.1164399063,33649.0,0.006363233377107735
n2,EAGER-0,qualimap,Perfect,Realtime,8.330435694E9,22970.0,22970.0,0.0
n2,EAGER-0,qualimap,Perfect,Realtime,2.5705994498E10,46033.0,46033.0,0.0
