Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
asok01,EAGER-0,bcftools_stats,Lotaru-G,Realtime,8.330435694E9,2831.5,12686.0,0.7768011981712124
asok01,EAGER-0,bcftools_stats,Lotaru-G,Realtime,2.5705994498E10,2831.5,29183.0,0.9029743343727512
asok01,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.4754556884E10,2831.5,18941.0,0.8505094767963677
asok01,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.9100037384E10,2831.5,18547.0,0.8473338006146547
asok01,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.9132169434E10,2831.5,18374.0,0.8458963753129422
asok01,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.907531498E10,2831.5,20088.0,0.8590452011150936
asok01,EAGER-0,bcftools_stats,OnlineP,Realtime,8.330435694E9,2429.0327090970154,12686.0,0.8085265088209825
asok01,EAGER-0,bcftools_stats,OnlineP,Realtime,2.5705994498E10,2429.0327090970154,29183.0,0.9167654898709174
asok01,EAGER-0,bcftools_stats,OnlineP,Realtime,1.4754556884E10,2429.0327090970154,18941.0,0.8717579478856968
asok01,EAGER-0,bcftools_stats,OnlineP,Realtime,1.9100037384E10,2429.0327090970154,18547.0,0.8690336599397738
asok01,EAGER-0,bcftools_stats,OnlineP,Realtime,1.9132169434E10,2429.0327090970154,18374.0,0.8678005491946764
asok01,EAGER-0,bcftools_stats,OnlineP,Realtime,1.907531498E10,2429.0327090970154,20088.0,0.8790804107379024
asok01,EAGER-0,bcftools_stats,OnlineM,Realtime,8.330435694E9,2831.5,12686.0,0.7768011981712124
asok01,EAGER-0,bcftools_stats,OnlineM,Realtime,2.5705994498E10,2831.5,29183.0,0.9029743343727512
asok01,EAGER-0,bcftools_stats,OnlineM,Realtime,1.4754556884E10,2831.5,18941.0,0.8505094767963677
asok01,EAGER-0,bcftools_stats,OnlineM,Realtime,1.9100037384E10,2831.5,18547.0,0.8473338006146547
asok01,EAGER-0,bcftools_stats,OnlineM,Realtime,1.9132169434E10,2831.5,18374.0,0.8458963753129422
asok01,EAGER-0,bcftools_stats,OnlineM,Realtime,1.907531498E10,2831.5,20088.0,0.8590452011150936
asok01,EAGER-0,bcftools_stats,Naive,Realtime,8.330435694E9,3322.5,12686.0,0.7380971149298439
asok01,EAGER-0,bcftools_stats,Naive,Realtime,2.5705994498E10,3322.5,29183.0,0.8861494705821883
asok01,EAGER-0,bcftools_stats,Naive,Realtime,1.4754556884E10,3322.5,18941.0,0.8245868750329972
asok01,EAGER-0,bcftools_stats,Naive,Realtime,1.9100037384E10,3322.5,18547.0,0.8208605165255837
asok01,EAGER-0,bcftools_stats,Naive,Realtime,1.9132169434E10,3322.5,18374.0,0.8191738325895287
asok01,EAGER-0,bcftools_stats,Naive,Realtime,1.907531498E10,3322.5,20088.0,0.8346027479091995
asok01,EAGER-0,bcftools_stats,Lotaru-A,Realtime,8.330435694E9,2831.5,12686.0,0.7768011981712124
asok01,EAGER-0,bcftools_stats,Lotaru-A,Realtime,2.5705994498E10,2831.5,29183.0,0.9029743343727512
asok01,EAGER-0,bcftools_stats,Lotaru-A,Realtime,1.4754556884E10,2831.5,18941.0,0.8505094767963677
asok01,EAGER-0,bcftools_stats,Lotaru-A,Realtime,1.9100037384E10,2831.5,18547.0,0.8473338006146547
asok01,EAGER-0,bcftools_stats,Lotaru-A,Realtime,1.9132169434E10,2831.5,18374.0,0.8458963753129422
asok01,EAGER-0,bcftools_stats,Lotaru-A,Realtime,1.907531498E10,2831.5,20088.0,0.8590452011150936
asok01,EAGER-0,bcftools_stats,Perfect,Realtime,8.330435694E9,12686.0,12686.0,0.0
asok01,EAGER-0,bcftools_stats,Perfect,Realtime,2.5705994498E10,29183.0,29183.0,0.0
asok01,EAGER-0,bcftools_stats,Perfect,Realtime,1.4754556884E10,18941.0,18941.0,0.0
asok01,EAGER-0,bcftools_stats,Perfect,Realtime,1.9100037384E10,18547.0,18547.0,0.0
asok01,EAGER-0,bcftools_stats,Perfect,Realtime,1.9132169434E10,18374.0,18374.0,0.0
asok01,EAGER-0,bcftools_stats,Perfect,Realtime,1.907531498E10,20088.0,20088.0,0.0
asok01,EAGER-0,genotyping_hc,Lotaru-G,Realtime,8.330435694E9,5225227.966703045,5552707.0,0.05897646558641664
asok01,EAGER-0,genotyping_hc,Lotaru-G,Realtime,2.5705994498E10,1.2502383161502166E7,1.0657795E7,0.17307408910587657
asok01,EAGER-0,genotyping_hc,Lotaru-G,Realtime,1.4754556884E10,8038777.022448514,7770035.0,0.03458697707906253
asok01,EAGER-0,genotyping_hc,Lotaru-G,Realtime,1.9100037384E10,8708475.220162198,6603045.0,0.31885746957081135
asok01,EAGER-0,genotyping_hc,Lotaru-G,Realtime,1.9132169434E10,8721441.573835466,6500992.0,0.34155550011989955
asok01,EAGER-0,genotyping_hc,Lotaru-G,Realtime,1.907531498E10,8709642.626392752,6643508.0,0.3110005476613789
asok01,EAGER-0,genotyping_hc,OnlineP,Realtime,8.330435694E9,1973264.306408206,5552707.0,0.6446302125417015
asok01,EAGER-0,genotyping_hc,OnlineP,Realtime,2.5705994498E10,2437907.3457879634,1.0657795E7,0.77125593560507
asok01,EAGER-0,genotyping_hc,OnlineP,Realtime,1.4754556884E10,2152908.130088087,7770035.0,0.7229216946785841
asok01,EAGER-0,genotyping_hc,OnlineP,Realtime,1.9100037384E10,2195668.0544985514,6603045.0,0.6674764363261871
asok01,EAGER-0,genotyping_hc,OnlineP,Realtime,1.9132169434E10,2196495.9502653927,6500992.0,0.6621291104087819
asok01,EAGER-0,genotyping_hc,OnlineP,Realtime,1.907531498E10,2195742.5928538064,6643508.0,0.6694904871261076
asok01,EAGER-0,genotyping_hc,OnlineM,Realtime,8.330435694E9,1973264.306408206,5552707.0,0.6446302125417015
asok01,EAGER-0,genotyping_hc,OnlineM,Realtime,2.5705994498E10,2437907.3457879634,1.0657795E7,0.77125593560507
asok01,EAGER-0,genotyping_hc,OnlineM,Realtime,1.4754556884E10,2152908.130088087,7770035.0,0.7229216946785841
asok01,EAGER-0,genotyping_hc,OnlineM,Realtime,1.9100037384E10,2195668.0544985514,6603045.0,0.6674764363261871
asok01,EAGER-0,genotyping_hc,OnlineM,Realtime,1.9132169434E10,2196495.9502653927,6500992.0,0.6621291104087819
asok01,EAGER-0,genotyping_hc,OnlineM,Realtime,1.907531498E10,2195742.5928538064,6643508.0,0.6694904871261076
asok01,EAGER-0,genotyping_hc,Naive,Realtime,8.330435694E9,847253.354023631,5552707.0,0.8474161604378494
asok01,EAGER-0,genotyping_hc,Naive,Realtime,2.5705994498E10,1046755.4543047656,1.0657795E7,0.9017849888926588
asok01,EAGER-0,genotyping_hc,Naive,Realtime,1.4754556884E10,924386.372468309,7770035.0,0.8810318907870673
asok01,EAGER-0,genotyping_hc,Naive,Realtime,1.9100037384E10,942746.0464647982,6603045.0,0.8572255608639956
asok01,EAGER-0,genotyping_hc,Naive,Realtime,1.9132169434E10,943101.5170740624,6500992.0,0.8549295988867449
asok01,EAGER-0,genotyping_hc,Naive,Realtime,1.907531498E10,942778.0507286408,6643508.0,0.8580903265671328
asok01,EAGER-0,genotyping_hc,Lotaru-A,Realtime,8.330435694E9,4735356.5720355185,5552707.0,0.14719855161896378
asok01,EAGER-0,genotyping_hc,Lotaru-A,Realtime,2.5705994498E10,1.1330269731232582E7,1.0657795E7,0.0630969849985463
asok01,EAGER-0,genotyping_hc,Lotaru-A,Realtime,1.4754556884E10,7285132.026191468,7770035.0,0.062406794024548365
asok01,EAGER-0,genotyping_hc,Lotaru-A,Realtime,1.9100037384E10,7892045.213909248,6603045.0,0.19521299853465301
asok01,EAGER-0,genotyping_hc,Lotaru-A,Realtime,1.9132169434E10,7903795.95635978,6500992.0,0.21578306147120016
