Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
n1,EAGER-0,bcftools_stats,Lotaru-G,Realtime,8.330435694E9,2831.5,8866.0,0.6806338822467854
n1,EAGER-0,bcftools_stats,Lotaru-G,Realtime,2.5705994498E10,2831.5,20287.0,0.8604278602060432
n1,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.907531498E10,2831.5,15299.0,0.8149225439571214
n1,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.9132169434E10,2831.5,15017.0,0.8114470267030699
n1,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.4754556884E10,2831.5,15017.0,0.8114470267030699
n1,EAGER-0,bcftools_stats,Lotaru-G,Realtime,1.9100037384E10,2831.5,13312.0,0.7872971754807693
n1,EAGER-0,bcftools_stats,OnlineP,Realtime,8.330435694E9,1495.347211941275,8866.0,0.8313391369342122
n1,EAGER-0,bcftools_stats,OnlineP,Realtime,2.5705994498E10,1495.347211941275,20287.0,0.9262903725567468
n1,EAGER-0,bcftools_stats,OnlineP,Realtime,1.907531498E10,1495.347211941275,15299.0,0.9022584997750654
n1,EAGER-0,bcftools_stats,OnlineP,Realtime,1.9132169434E10,1495.347211941275,15017.0,0.900423039758855
n1,EAGER-0,bcftools_stats,OnlineP,Realtime,1.4754556884E10,1495.347211941275,15017.0,0.900423039758855
n1,EAGER-0,bcftools_stats,OnlineP,Realtime,1.9100037384E10,1495.347211941275,13312.0,0.8876692298722
n1,EAGER-0,bcftools_stats,OnlineM,Realtime,8.330435694E9,2831.5,8866.0,0.6806338822467854
n1,EAGER-0,bcftools_stats,OnlineM,Realtime,2.5705994498E10,2831.5,20287.0,0.8604278602060432
n1,EAGER-0,bcftools_stats,OnlineM,Realtime,1.907531498E10,2831.5,15299.0,0.8149225439571214
n1,EAGER-0,bcftools_stats,OnlineM,Realtime,1.9132169434E10,2831.5,15017.0,0.8114470267030699
n1,EAGER-0,bcftools_stats,OnlineM,Realtime,1.4754556884E10,2831.5,15017.0,0.8114470267030699
n1,EAGER-0,bcftools_stats,OnlineM,Realtime,1.9100037384E10,2831.5,13312.0,0.7872971754807693
n1,EAGER-0,bcftools_stats,Naive,Realtime,8.330435694E9,3322.5,8866.0,0.625253778479585
n1,EAGER-0,bcftools_stats,Naive,Realtime,2.5705994498E10,3322.5,20287.0,0.8362251688273279
n1,EAGER-0,bcftools_stats,Naive,Realtime,1.907531498E10,3322.5,15299.0,0.7828289430681744
n1,EAGER-0,bcftools_stats,Naive,Realtime,1.9132169434E10,3322.5,15017.0,0.7787507491509622
n1,EAGER-0,bcftools_stats,Naive,Realtime,1.4754556884E10,3322.5,15017.0,0.7787507491509622
n1,EAGER-0,bcftools_stats,Naive,Realtime,1.9100037384E10,3322.5,13312.0,0.7504131610576923
n1,EAGER-0,bcftools_stats,Lotaru-A,Realtime,8.330435694E9,2831.5,8866.0,0.6806338822467854
n1,EAGER-0,bcftools_stats,Lotaru-A,Realtime,2.5705994498E10,2831.5,20287.0,0.8604278602060432
n1,EAGER-0,bcftools_stats,Lotaru-A,Realtime,1.907531498E10,2831.5,15299.0,0.8149225439571214
n1,EAGER-0,bcftools_stats,Lotaru-A,Realtime,1.9132169434E10,2831.5,15017.0,0.8114470267030699
n1,EAGER-0,bcftools_stats,Lotaru-A,Realtime,1.4754556884E10,2831.5,15017.0,0.8114470267030699
n1,EAGER-0,bcftools_stats,Lotaru-A,Realtime,1.9100037384E10,2831.5,13312.0,0.7872971754807693
n1,EAGER-0,bcftools_stats,Perfect,Realtime,8.330435694E9,8866.0,8866.0,0.0
n1,EAGER-0,bcftools_stats,Perfect,Realtime,2.5705994498E10,20287.0,20287.0,0.0
n1,EAGER-0,bcftools_stats,Perfect,Realtime,1.907531498E10,15299.0,15299.0,0.0
n1,EAGER-0,bcftools_stats,Perfect,Realtime,1.9132169434E10,15017.0,15017.0,0.0
n1,EAGER-0,bcftools_stats,Perfect,Realtime,1.4754556884E10,15017.0,15017.0,0.0
n1,EAGER-0,bcftools_stats,Perfect,Realtime,1.9100037384E10,13312.0,13312.0,0.0
n1,EAGER-0,genotyping_hc,Lotaru-G,Realtime,8.330435694E9,3206923.493674561,3502399.0,0.08436374791262763
n1,EAGER-0,genotyping_hc,Lotaru-G,Realtime,2.5705994498E10,7673186.086787018,6943115.0,0.10515036648349019
n1,EAGER-0,genotyping_hc,Lotaru-G,Realtime,1.907531498E10,5345130.727866115,4530912.0,0.1797030548962582
n1,EAGER-0,genotyping_hc,Lotaru-G,Realtime,1.9132169434E10,5352913.040838758,4454183.0,0.2017721411174077
n1,EAGER-0,genotyping_hc,Lotaru-G,Realtime,1.4754556884E10,4933570.259282076,5451079.0,0.09493693647036196
n1,EAGER-0,genotyping_hc,Lotaru-G,Realtime,1.9100037384E10,5344851.299733125,4566314.0,0.1704957871344644
n1,EAGER-0,genotyping_hc,OnlineP,Realtime,8.330435694E9,1973233.4619252053,3502399.0,0.4366051777866527
n1,EAGER-0,genotyping_hc,OnlineP,Realtime,2.5705994498E10,2437832.752902121,6943115.0,0.648884866100861
n1,EAGER-0,genotyping_hc,OnlineP,Realtime,1.907531498E10,2195658.7099388507,4530912.0,0.5154046889591211
n1,EAGER-0,genotyping_hc,OnlineP,Realtime,1.9132169434E10,2196468.2586417925,4454183.0,0.5068751646167675
n1,EAGER-0,genotyping_hc,OnlineP,Realtime,1.4754556884E10,2152846.470866042,5451079.0,0.6050604897001048
n1,EAGER-0,genotyping_hc,OnlineP,Realtime,1.9100037384E10,2195629.642657257,4566314.0,0.5191680548781233
n1,EAGER-0,genotyping_hc,OnlineM,Realtime,8.330435694E9,1973233.4619252053,3502399.0,0.4366051777866527
n1,EAGER-0,genotyping_hc,OnlineM,Realtime,2.5705994498E10,2437832.752902121,6943115.0,0.648884866100861
n1,EAGER-0,genotyping_hc,OnlineM,Realtime,1.907531498E10,2195658.7099388507,4530912.0,0.5154046889591211
n1,EAGER-0,genotyping_hc,OnlineM,Realtime,1.9132169434E10,2196468.2586417925,4454183.0,0.5068751646167675
n1,EAGER-0,genotyping_hc,OnlineM,Realtime,1.4754556884E10,2152846.470866042,5451079.0,0.6050604897001048
n1,EAGER-0,genotyping_hc,OnlineM,Realtime,1.9100037384E10,2195629.642657257,4566314.0,0.5191680548781233
n1,EAGER-0,genotyping_hc,Naive,Realtime,8.330435694E9,847240.1104395908,3502399.0,0.7580972041050746
n1,EAGER-0,genotyping_hc,Naive,Realtime,2.5705994498E10,1046723.4266273222,6943115.0,0.8492429656390076
n1,EAGER-0,genotyping_hc,Naive,Realtime,1.907531498E10,942742.0342250174,4530912.0,0.7919310650427513
n1,EAGER-0,genotyping_hc,Naive,Realtime,1.9132169434E10,943089.6272218528,4454183.0,0.7882687740441171
n1,EAGER-0,genotyping_hc,Naive,Realtime,1.4754556884E10,924359.8980712836,5451079.0,0.8304262517436853
n1,EAGER-0,genotyping_hc,Naive,Realtime,1.9100037384E10,942729.5537115138,4566314.0,0.7935469278478191
n1,EAGER-0,genotyping_hc,Lotaru-A,Realtime,8.330435694E9,3627465.0904255407,3502399.0,0.03570869293462586
