Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
asok02,EAGER-0,genotyping_hc,OnlineP,Realtime,1.9132169434E10,2196491.2755068797,6565041.0,0.6654261145502549
asok02,EAGER-0,genotyping_hc,OnlineP,Realtime,1.907531498E10,2195756.7608918035,6628652.0,0.6687476185366491
asok02,EAGER-0,genotyping_hc,OnlineM,Realtime,8.330435694E9,1973298.995297598,5518887.0,0.6424462042260337
asok02,EAGER-0,genotyping_hc,OnlineM,Realtime,2.5705994498E10,2437912.1246503247,1.0522335E7,0.7683107290681845
asok02,EAGER-0,genotyping_hc,OnlineM,Realtime,1.4754556884E10,2152917.268918754,7709811.0,0.7207561548631017
asok02,EAGER-0,genotyping_hc,OnlineM,Realtime,1.9100037384E10,2195654.059966968,6524407.0,0.6634707092971103
asok02,EAGER-0,genotyping_hc,OnlineM,Realtime,1.9132169434E10,2196491.2755068797,6565041.0,0.6654261145502549
asok02,EAGER-0,genotyping_hc,OnlineM,Realtime,1.907531498E10,2195756.7608918035,6628652.0,0.6687476185366491
asok02,EAGER-0,genotyping_hc,Naive,Realtime,8.330435694E9,847268.2482665306,5518887.0,0.8464784206912498
asok02,EAGER-0,genotyping_hc,Naive,Realtime,2.5705994498E10,1046757.5061876031,1.0522335E7,0.900520416220582
asok02,EAGER-0,genotyping_hc,Naive,Realtime,1.4754556884E10,924390.2963749593,7709811.0,0.8801020807935552
asok02,EAGER-0,genotyping_hc,Naive,Realtime,1.9100037384E10,942740.0376834183,6524407.0,0.855505636346197
asok02,EAGER-0,genotyping_hc,Naive,Realtime,1.9132169434E10,943099.5098899174,6565041.0,0.8563452216231525
asok02,EAGER-0,genotyping_hc,Naive,Realtime,1.907531498E10,942784.1340078415,6628652.0,0.8577713637693092
asok02,EAGER-0,genotyping_hc,Lotaru-A,Realtime,8.330435694E9,6725222.258301355,5518887.0,0.2185830690683384
asok02,EAGER-0,genotyping_hc,Lotaru-A,Realtime,2.5705994498E10,1.608983721736489E7,1.0522335E7,0.5291128078857869
asok02,EAGER-0,genotyping_hc,Lotaru-A,Realtime,1.4754556884E10,1.0345558976760404E7,7709811.0,0.34186933723283286
asok02,EAGER-0,genotyping_hc,Lotaru-A,Realtime,1.9100037384E10,1.1206950029807126E7,6524407.0,0.7176963408026394
asok02,EAGER-0,genotyping_hc,Lotaru-A,Realtime,1.9132169434E10,1.1223824716882674E7,6565041.0,0.7096351289935088
asok02,EAGER-0,genotyping_hc,Lotaru-A,Realtime,1.907531498E10,1.1209020041514194E7,6628652.0,0.6909954001981389
asok02,EAGER-0,genotyping_hc,Perfect,Realtime,8.330435694E9,5518887.0,5518887.0,0.0
asok02,EAGER-0,genotyping_hc,Perfect,Realtime,2.5705994498E10,1.0522335E7,1.0522335E7,0.0
asok02,EAGER-0,genotyping_hc,Perfect,Realtime,1.4754556884E10,7709811.0,7709811.0,0.0
asok02,EAGER-0,genotyping_hc,Perfect,Realtime,1.9100037384E10,6524407.0,6524407.0,0.0
asok02,EAGER-0,genotyping_hc,Perfect,Realtime,1.9132169434E10,6565041.0,6565041.0,0.0
asok02,EAGER-0,genotyping_hc,Perfect,Realtime,1.907531498E10,6628652.0,6628652.0,0.0
asok02,EAGER-0,qualimap,Lotaru-G,Realtime,8.330435694E9,44908.709643152615,50515.0,0.11098268547653935
asok02,EAGER-0,qualimap,Lotaru-G,Realtime,2.5705994498E10,91016.03920095823,86996.0,0.04620947171086289
asok02,EAGER-0,qualimap,Lotaru-G,Realtime,1.9100037384E10,66974.02463670673,78683.0,0.14881200975170328
asok02,EAGER-0,qualimap,Lotaru-G,Realtime,1.907531498E10,66984.21648254326,79840.0,0.16101933263347626
asok02,EAGER-0,qualimap,Lotaru-G,Realtime,1.9132169434E10,67057.10832584351,67567.0,0.00754646016778146
asok02,EAGER-0,qualimap,Lotaru-G,Realtime,1.4754556884E10,62732.90619942721,64447.0,0.026596952543528597
asok02,EAGER-0,qualimap,OnlineP,Realtime,8.330435694E9,21259.76174356893,50515.0,0.5791396269708219
asok02,EAGER-0,qualimap,OnlineP,Realtime,2.5705994498E10,26265.65856974265,86996.0,0.6980819972212211
asok02,EAGER-0,qualimap,OnlineP,Realtime,1.9100037384E10,23655.4045047978,78683.0,0.6993581268533507
asok02,EAGER-0,qualimap,OnlineP,Realtime,1.907531498E10,23656.511038817607,79840.0,0.7037010140428656
asok02,EAGER-0,qualimap,OnlineP,Realtime,1.9132169434E10,23664.424944275917,67567.0,0.6497635688386947
asok02,EAGER-0,qualimap,OnlineP,Realtime,1.4754556884E10,23194.9440632964,64447.0,0.6400927263752169
asok02,EAGER-0,qualimap,OnlineM,Realtime,8.330435694E9,21259.76174356893,50515.0,0.5791396269708219
asok02,EAGER-0,qualimap,OnlineM,Realtime,2.5705994498E10,26265.65856974265,86996.0,0.6980819972212211
asok02,EAGER-0,qualimap,OnlineM,Realtime,1.9100037384E10,23655.4045047978,78683.0,0.6993581268533507
asok02,EAGER-0,qualimap,OnlineM,Realtime,1.907531498E10,23656.511038817607,79840.0,0.7037010140428656
asok02,EAGER-0,qualimap,OnlineM,Realtime,1.9132169434E10,23664.424944275917,67567.0,0.6497635688386947
asok02,EAGER-0,qualimap,OnlineM,Realtime,1.4754556884E10,23194.9440632964,64447.0,0.6400927263752169
asok02,EAGER-0,qualimap,Naive,Realtime,8.330435694E9,14644.980596686084,50515.0,0.7100864971456777
asok02,EAGER-0,qualimap,Naive,Realtime,2.5705994498E10,18093.338239287754,86996.0,0.7920210326993453
asok02,EAGER-0,qualimap,Naive,Realtime,1.9100037384E10,16295.240941932012,78683.0,0.7929001062245719
asok02,EAGER-0,qualimap,Naive,Realtime,1.907531498E10,16296.003187974331,79840.0,0.7958917436375961
asok02,EAGER-0,qualimap,Naive,Realtime,1.9132169434E10,16301.454753861048,67567.0,0.7587364430289779
asok02,EAGER-0,qualimap,Naive,Realtime,1.4754556884E10,15978.048571073512,64447.0,0.7520745950769856
asok02,EAGER-0,qualimap,Lotaru-A,Realtime,8.330435694E9,34240.00997455928,50515.0,0.32218133278116834
asok02,EAGER-0,qualimap,Lotaru-A,Realtime,2.5705994498E10,69393.89073631188,86996.0,0.20233239762389216
asok02,EAGER-0,qualimap,Lotaru-A,Realtime,1.9100037384E10,51063.39705190947,78683.0,0.35102376559219306
asok02,EAGER-0,qualimap,Lotaru-A,Realtime,1.907531498E10,51071.16768049966,79840.0,0.36033106612600624
asok02,EAGER-0,qualimap,Lotaru-A,Realtime,1.9132169434E10,51126.74303462354,67567.0,0.24331784695748604
asok02,EAGER-0,qualimap,Lotaru-A,Realtime,1.4754556884E10,47829.81633338887,64447.0,0.25784262520538004
asok02,EAGER-0,qualimap,Perfect,Realtime,8.330435694E9,50515.0,50515.0,0.0
asok02,EAGER-0,qualimap,Perfect,Realtime,2.5705994498E10,86996.0,86996.0,0.0
asok02,EAGER-0,qualimap,Perfect,Realtime,1.9100037384E10,78683.0,78683.0,0.0
asok02,EAGER-0,qualimap,Perfect,Realtime,1.907531498E10,79840.0,79840.0,0.0
asok02,EAGER-0,qualimap,Perfect,Realtime,1.9132169434E10,67567.0,67567.0,0.0
asok02,EAGER-0,qualimap,Perfect,Realtime,1.4754556884E10,64447.0,64447.0,0.0
asok02,EAGER-0,adapter_removal,Lotaru-G,Realtime,8.330435694E9,703024.4877925799,787952.0,0.10778259615740562
asok02,EAGER-0,adapter_removal,Lotaru-G,Realtime,2.5705994498E10,2169073.040720169,2450757.0,0.11493753125251954
asok02,EAGER-0,adapter_removal,Lotaru-G,Realtime,1.4754556884E10,1245054.4553273644,1188392.0,0.047679936693754574
