Workflow,Metric,ExperimentNr,Data,PredictionFor,Target, Estimator,MedianDeviation
EAGER-0,Median Error,0,ALL_DATA,N1,N1,Lotaru-G,0.13263672037936147
EAGER-0,Median Error,0,ALL_DATA,N1,N1,Lotaru-A,0.2416214197414685
EAGER-0,Median Error,0,ALL_DATA,N1,N1,OnlineM,0.3414386431494043
EAGER-0,Median Error,0,ALL_DATA,N1,N1,OnlineP,0.3414386431494043
EAGER-0,Median Error,0,ALL_DATA,N1,N1,Naive,0.7540652078344889
EAGER-1,Median Error,1,ALL_DATA,N1,N1,Lotaru-G,0.1319233566990476
EAGER-1,Median Error,1,ALL_DATA,N1,N1,Lotaru-A,0.17011262594725052
EAGER-1,Median Error,1,ALL_DATA,N1,N1,OnlineM,0.31791384155762303
EAGER-1,Median Error,1,ALL_DATA,N1,N1,OnlineP,0.31791384155762303
EAGER-1,Median Error,1,ALL_DATA,N1,N1,Naive,0.6767103825242693
BACASS-0,Median Error,0,ALL_DATA,N1,N1,Lotaru-G,0.17812359703778913
BACASS-0,Median Error,0,ALL_DATA,N1,N1,Lotaru-A,0.23212555697346138
BACASS-0,Median Error,0,ALL_DATA,N1,N1,OnlineM,0.2211250409023297
BACASS-0,Median Error,0,ALL_DATA,N1,N1,OnlineP,0.2211250409023297
BACASS-0,Median Error,0,ALL_DATA,N1,N1,Naive,0.5942496574332425
BACASS-1,Median Error,1,ALL_DATA,N1,N1,Lotaru-G,0.16318963475310347
BACASS-1,Median Error,1,ALL_DATA,N1,N1,Lotaru-A,0.17887230527360867
BACASS-1,Median Error,1,ALL_DATA,N1,N1,OnlineM,0.1269907877306672
BACASS-1,Median Error,1,ALL_DATA,N1,N1,OnlineP,0.1269907877306672
BACASS-1,Median Error,1,ALL_DATA,N1,N1,Naive,0.3049937812818654
CHIPSEQ-0,Median Error,0,ALL_DATA,N1,N1,Lotaru-G,0.13264761140464176
CHIPSEQ-0,Median Error,0,ALL_DATA,N1,N1,Lotaru-A,0.15251390776961168
CHIPSEQ-0,Median Error,0,ALL_DATA,N1,N1,OnlineM,0.17834314522504255
CHIPSEQ-0,Median Error,0,ALL_DATA,N1,N1,OnlineP,0.17834314522504255
CHIPSEQ-0,Median Error,0,ALL_DATA,N1,N1,Naive,0.4113654316993045
CHIPSEQ-1,Median Error,1,ALL_DATA,N1,N1,Lotaru-G,0.12765620127068256
CHIPSEQ-1,Median Error,1,ALL_DATA,N1,N1,Lotaru-A,0.16969836555519965
CHIPSEQ-1,Median Error,1,ALL_DATA,N1,N1,OnlineM,0.18016602827508488
CHIPSEQ-1,Median Error,1,ALL_DATA,N1,N1,OnlineP,0.18016602827508488
CHIPSEQ-1,Median Error,1,ALL_DATA,N1,N1,Naive,0.37664177773942686
ATACSEQ-0,Median Error,0,ALL_DATA,N1,N1,Lotaru-G,0.1701848112158374
ATACSEQ-0,Median Error,0,ALL_DATA,N1,N1,Lotaru-A,0.21223155782400116
ATACSEQ-0,Median Error,0,ALL_DATA,N1,N1,OnlineM,0.21382384849612207
ATACSEQ-0,Median Error,0,ALL_DATA,N1,N1,OnlineP,0.21382384849612207
ATACSEQ-0,Median Error,0,ALL_DATA,N1,N1,Naive,0.659746136766228
ATACSEQ-1,Median Error,1,ALL_DATA,N1,N1,Lotaru-G,0.22684839074335808
ATACSEQ-1,Median Error,1,ALL_DATA,N1,N1,Lotaru-A,0.2690790045012217
ATACSEQ-1,Median Error,1,ALL_DATA,N1,N1,OnlineM,0.2617557995491927
ATACSEQ-1,Median Error,1,ALL_DATA,N1,N1,OnlineP,0.2617557995491927
ATACSEQ-1,Median Error,1,ALL_DATA,N1,N1,Naive,0.6072915423248462
METHYLSEQ-0,Median Error,0,ALL_DATA,N1,N1,Lotaru-G,0.1342673160252242
METHYLSEQ-0,Median Error,0,ALL_DATA,N1,N1,Lotaru-A,0.16407263294422827
METHYLSEQ-0,Median Error,0,ALL_DATA,N1,N1,OnlineM,0.20530209617755857
METHYLSEQ-0,Median Error,0,ALL_DATA,N1,N1,OnlineP,0.20423746750480448
METHYLSEQ-0,Median Error,0,ALL_DATA,N1,N1,Naive,1.8829954740336672
METHYLSEQ-1,Median Error,1,ALL_DATA,N1,N1,Lotaru-G,0.14634307170083724
METHYLSEQ-1,Median Error,1,ALL_DATA,N1,N1,Lotaru-A,0.12743190661478598
METHYLSEQ-1,Median Error,1,ALL_DATA,N1,N1,OnlineM,0.17046855733662145
METHYLSEQ-1,Median Error,1,ALL_DATA,N1,N1,OnlineP,0.20336883824622246
METHYLSEQ-1,Median Error,1,ALL_DATA,N1,N1,Naive,0.5943424493535672
