Machine,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation
local,EAGER-0,preseq,Lotaru-G,Realtime,2.5705994498E10,39226.89621867,43820.0,0.10481752125353717
local,EAGER-0,preseq,OnlineP,Realtime,8.330435694E9,14220.794859169875,14330.0,0.007620735577817512
local,EAGER-0,preseq,OnlineP,Realtime,2.5705994498E10,39094.6951959377,43820.0,0.10783443185902107
local,EAGER-0,preseq,OnlineM,Realtime,8.330435694E9,14220.794859169875,14330.0,0.007620735577817512
local,EAGER-0,preseq,OnlineM,Realtime,2.5705994498E10,39094.6951959377,43820.0,0.10783443185902107
local,EAGER-0,preseq,Naive,Realtime,8.330435694E9,14012.774703260247,14330.0,0.022137145620359566
local,EAGER-0,preseq,Naive,Realtime,2.5705994498E10,38522.82247922705,43820.0,0.12088492744803632
local,EAGER-0,preseq,Lotaru-A,Realtime,8.330435694E9,14204.22181869,14330.0,0.00877726317585479
local,EAGER-0,preseq,Lotaru-A,Realtime,2.5705994498E10,39226.89621867,43820.0,0.10481752125353717
local,EAGER-0,preseq,Perfect,Realtime,8.330435694E9,14330.0,14330.0,0.0
local,EAGER-0,preseq,Perfect,Realtime,2.5705994498E10,43820.0,43820.0,0.0
local,EAGER-0,bwa,Lotaru-G,Realtime,8.330435694E9,1396184.40953378,1402931.0,0.004808925361418297
local,EAGER-0,bwa,Lotaru-G,Realtime,2.5705994498E10,4275087.0067586,4421482.0,0.0331099376275648
local,EAGER-0,bwa,OnlineP,Realtime,8.330435694E9,1400186.0769945453,1402931.0,0.0019565630850374737
local,EAGER-0,bwa,OnlineP,Realtime,2.5705994498E10,4289530.645748968,4421482.0,0.029843241304845697
local,EAGER-0,bwa,OnlineM,Realtime,8.330435694E9,1400186.0769945453,1402931.0,0.0019565630850374737
local,EAGER-0,bwa,OnlineM,Realtime,2.5705994498E10,4289530.645748968,4421482.0,0.029843241304845697
local,EAGER-0,bwa,Naive,Realtime,8.330435694E9,1492399.1026856762,1402931.0,0.06377227581803822
local,EAGER-0,bwa,Naive,Realtime,2.5705994498E10,4572029.2408559695,4421482.0,0.03404904528752339
local,EAGER-0,bwa,Lotaru-A,Realtime,8.330435694E9,1396184.40953378,1402931.0,0.004808925361418297
local,EAGER-0,bwa,Lotaru-A,Realtime,2.5705994498E10,4275087.0067586,4421482.0,0.0331099376275648
local,EAGER-0,bwa,Perfect,Realtime,8.330435694E9,1402931.0,1402931.0,0.0
local,EAGER-0,bwa,Perfect,Realtime,2.5705994498E10,4421482.0,4421482.0,0.0
local,EAGER-0,samtools_flagstat_after_filter,Lotaru-G,Realtime,8.330435694E9,1392.51934646,1617.0,0.138825388707483
local,EAGER-0,samtools_flagstat_after_filter,Lotaru-G,Realtime,2.5705994498E10,3660.26144252,4184.0,0.1251765194741874
local,EAGER-0,samtools_flagstat_after_filter,OnlineP,Realtime,8.330435694E9,1384.5040645094566,1617.0,0.1437822730306391
local,EAGER-0,samtools_flagstat_after_filter,OnlineP,Realtime,2.5705994498E10,3791.822451924774,4184.0,0.09373268357438475
local,EAGER-0,samtools_flagstat_after_filter,OnlineM,Realtime,8.330435694E9,1384.5040645094566,1617.0,0.1437822730306391
local,EAGER-0,samtools_flagstat_after_filter,OnlineM,Realtime,2.5705994498E10,3791.822451924774,4184.0,0.09373268357438475
local,EAGER-0,samtools_flagstat_after_filter,Naive,Realtime,8.330435694E9,1886.9522665999907,1617.0,0.16694636153369866
local,EAGER-0,samtools_flagstat_after_filter,Naive,Realtime,2.5705994498E10,5167.906800432016,4184.0,0.23515936912811092
local,EAGER-0,samtools_flagstat_after_filter,Lotaru-A,Realtime,8.330435694E9,1392.51934646,1617.0,0.138825388707483
local,EAGER-0,samtools_flagstat_after_filter,Lotaru-A,Realtime,2.5705994498E10,3660.26144252,4184.0,0.1251765194741874
local,EAGER-0,samtools_flagstat_after_filter,Perfect,Realtime,8.330435694E9,1617.0,1617.0,0.0
local,EAGER-0,samtools_flagstat_after_filter,Perfect,Realtime,2.5705994498E10,4184.0,4184.0,0.0
local,EAGER-0,fastqc,Lotaru-G,Realtime,8.330435694E9,119350.03451762,115314.0,0.03500038605563944
local,EAGER-0,fastqc,Lotaru-G,Realtime,2.5705994498E10,347990.04382736,393998.0,0.1167720551186555
local,EAGER-0,fastqc,OnlineP,Realtime,8.330435694E9,154017.299162262,115314.0,0.3356340007480618
local,EAGER-0,fastqc,OnlineP,Realtime,2.5705994498E10,475265.399109139,393998.0,0.20626348130990257
local,EAGER-0,fastqc,OnlineM,Realtime,8.330435694E9,154017.299162262,115314.0,0.3356340007480618
local,EAGER-0,fastqc,OnlineM,Realtime,2.5705994498E10,475265.399109139,393998.0,0.20626348130990257
local,EAGER-0,fastqc,Naive,Realtime,8.330435694E9,587963.231411575,115314.0,4.098801805605347
local,EAGER-0,fastqc,Naive,Realtime,2.5705994498E10,1814332.4247227842,393998.0,3.6049280065451708
local,EAGER-0,fastqc,Lotaru-A,Realtime,8.330435694E9,119350.03451762,115314.0,0.03500038605563944
local,EAGER-0,fastqc,Lotaru-A,Realtime,2.5705994498E10,347990.04382736,393998.0,0.1167720551186555
local,EAGER-0,fastqc,Perfect,Realtime,8.330435694E9,115314.0,115314.0,0.0
local,EAGER-0,fastqc,Perfect,Realtime,2.5705994498E10,393998.0,393998.0,0.0
local,EAGER-0,samtools_flagstat,Lotaru-G,Realtime,8.330435694E9,4987.91078704,5162.0,0.03372514780317701
local,EAGER-0,samtools_flagstat,Lotaru-G,Realtime,2.5705994498E10,14431.03073247,14139.0,0.020654270632293702
local,EAGER-0,samtools_flagstat,OnlineP,Realtime,8.330435694E9,5049.092284127043,5162.0,0.021872862431801036
local,EAGER-0,samtools_flagstat,OnlineP,Realtime,2.5705994498E10,14653.48161110968,14139.0,0.03638741149371813
local,EAGER-0,samtools_flagstat,OnlineM,Realtime,8.330435694E9,5049.092284127043,5162.0,0.021872862431801036
local,EAGER-0,samtools_flagstat,OnlineM,Realtime,2.5705994498E10,14653.48161110968,14139.0,0.03638741149371813
local,EAGER-0,samtools_flagstat,Naive,Realtime,8.330435694E9,5980.78160657182,5162.0,0.15861712641840756
local,EAGER-0,samtools_flagstat,Naive,Realtime,2.5705994498E10,17357.431466934548,14139.0,0.22762794164612402
local,EAGER-0,samtools_flagstat,Lotaru-A,Realtime,8.330435694E9,4987.91078704,5162.0,0.03372514780317701
local,EAGER-0,samtools_flagstat,Lotaru-A,Realtime,2.5705994498E10,14431.03073247,14139.0,0.020654270632293702
local,EAGER-0,samtools_flagstat,Perfect,Realtime,8.330435694E9,5162.0,5162.0,0.0
local,EAGER-0,samtools_flagstat,Perfect,Realtime,2.5705994498E10,14139.0,14139.0,0.0
local,EAGER-0,samtools_filter,Lotaru-G,Realtime,8.330435694E9,11897.56737526,8094.0,0.4699243112503088
local,EAGER-0,samtools_filter,Lotaru-G,Realtime,2.5705994498E10,34611.55381602,23243.0,0.4891173177309298
local,EAGER-0,samtools_filter,OnlineP,Realtime,8.330435694E9,12456.385206783032,8094.0,0.5389653084733176
local,EAGER-0,samtools_filter,OnlineP,Realtime,2.5705994498E10,36150.9359102657,23243.0,0.5553472404709248
local,EAGER-0,samtools_filter,OnlineM,Realtime,8.330435694E9,12456.385206783032,8094.0,0.5389653084733176
